"","_","did","handle","createdAt","indexedAt","displayName","description","avatar","labels"
"1",,"did:plc:mfrvat6gx46alojx7hhjsiza","rmkanev.bsky.social","2024-12-16T17:30:48.844Z","2024-12-16T17:33:11.644Z","Radan Kanev","Bulgarian centre-right politician, Member of the European Parliament, EPP Group, Democratic Bulgaria","https://cdn.bsky.app/img/avatar/plain/did:plc:mfrvat6gx46alojx7hhjsiza/bafkreifjhl4yhohlr6ynw3vjvafisqezp2w5ntw64bpzyl5aqe4csbavoe@jpeg","[]"
"2",,"did:plc:w4ltw6bnuhzjmhzfrl5gb5uo","bergerstefan.bsky.social","2025-01-01T12:25:06.242Z","2025-01-01T13:07:43.043Z","Stefan Berger","Stadtpräsident von Burgdorf, SP-Grossrat Kanton Bern\nFrüher: Unternehmer und Gründer von #reseachem und #reseatech\n\nlinkedin.com/in/stefan-berger-356a3511\n\nhttps://www.instagram.com/stefan.berger_/\n\nwww.stefanberger.ch","https://cdn.bsky.app/img/avatar/plain/did:plc:w4ltw6bnuhzjmhzfrl5gb5uo/bafkreic7g5s2akbq6r2pizhvy5potvxk6mjx2c26q5wqxsrig5xsvepajq@jpeg","[]"
"3",,"did:plc:326a53m6b76efibdd7mqic4m","raquelgarciaher.bsky.social","2024-12-24T20:29:57.843Z","2024-12-26T10:42:33.843Z","Raquel García Hermida-van der Walle","Europeaan in Fryslân - 🇪🇦🇳🇱🇪🇺 -  Europarlementariër namens #D66 #RenewEurope 💚💙 - Portefeuilles: Burgerlijke Vrijheden, Justitie en Home Affairs, Regionale Ontwikkeling, Vrouwenrechten en Gendergelijkheid, Minderheidstalen \n\n#politiek #Europa ","https://cdn.bsky.app/img/avatar/plain/did:plc:326a53m6b76efibdd7mqic4m/bafkreifcgylmsaddey2h5n6ytfncis5ik4vbzhtxwq55p3irvrzy3qjpku@jpeg","[]"
"4",,"did:plc:p76nsap6wexgcsxde42oghrg","jmgermain.bsky.social","2024-12-16T13:57:50.243Z","2024-12-16T13:57:50.243Z","",,"https://cdn.bsky.app/img/avatar/plain/did:plc:p76nsap6wexgcsxde42oghrg/bafkreihi2lbz3ka7ujr2b2xjrjuy3me2otzovw2e3ro6sdvqh4hvaavrui@jpeg","[]"
"5",,"did:plc:bstpkrn6i7dexcorunsmxk4p","dirkgotink.bsky.social","2024-12-06T12:50:22.845Z","2024-12-11T09:33:12.449Z","Dirk Gotink","Lid Europees Parlement namens Nieuw Sociaal Contract (NSC)\n","https://cdn.bsky.app/img/avatar/plain/did:plc:bstpkrn6i7dexcorunsmxk4p/bafkreiawoanqhqpiba7eyrnc3mi3sverhp674ouzd7iazc3xgc5cm2wctu@jpeg","[]"
"6",,"did:plc:grhdqeijpplfusmxdt42pzds","younousomarjee.bsky.social","2024-12-22T22:43:50.443Z","2024-12-22T23:00:57.542Z","Younous Omarjee","Vice Président du Parlement Européen (The Left)","https://cdn.bsky.app/img/avatar/plain/did:plc:grhdqeijpplfusmxdt42pzds/bafkreiaupdj56sfpsy6dwpkj5v4q7wnckwq7fca4dnpqeyyngdewfizxri@jpeg","[]"
"7",,"did:plc:myzhz5zruuwxd32caok5uemk","ingeborgterlaak.bsky.social","2024-12-06T10:54:29.947Z","2024-12-06T10:54:29.947Z","",,"https://cdn.bsky.app/img/avatar/plain/did:plc:myzhz5zruuwxd32caok5uemk/bafkreiaotc3djnkq7rd23m5k33aa2s6frpdv26k4onfv6cldt4zadqb7x4@jpeg","[]"
"8",,"did:plc:nwdjuw4mdoonf2ciavtv37ss","pcanfin.bsky.social","2024-12-08T08:12:00.646Z","2024-12-08T12:56:52.946Z","Pascal Canfin","Député européen 🇪🇺 Delegation l’Europe ensemble \nCoordinateur Renew Europe de la Commission de l’environnement, de la santé publique et de la sécurité alimentaire au Parlement européen ","https://cdn.bsky.app/img/avatar/plain/did:plc:nwdjuw4mdoonf2ciavtv37ss/bafkreif65tqzcstvfdzeja4bhmvdxxgftqcn6feihfeffdsnmup7oeguka@jpeg","[]"
"9",,"did:plc:yknhftizmxefnzpw25cx2zaz","ciaranmulloolymep.bsky.social","2024-12-25T13:51:56.243Z","2024-12-25T13:59:15.543Z","Ciaran Mullooly MEP","Former journalist , community worker and broadcaster - elected by the people\nof the midlands, west and north west to the European Parliament on June 14 , 2024","https://cdn.bsky.app/img/avatar/plain/did:plc:yknhftizmxefnzpw25cx2zaz/bafkreihj3abuadebwqklbbje4jfqd3ivhbgpqpmhxzc2dgvdi5j22u4g3a@jpeg","[]"
"10",,"did:plc:yluhzqooklpv6o2rbg2u4fod","markusferber.bsky.social","2024-12-27T17:02:22.242Z","2024-12-27T17:41:07.644Z","Markus Ferber, MEP",".Member of the European Parliament \n.Spokesman of the EPP Group in the Economic and Monetary Affairs Committee \n. Transport Policy Spokesman for the CSU European Group \n. Chairman of the Hanns Seidel Foundation","https://cdn.bsky.app/img/avatar/plain/did:plc:yluhzqooklpv6o2rbg2u4fod/bafkreibmzne5ga2mk7natx4ujplggto7mzn7esnnukmljz2sqcyhvhzqay@jpeg","[]"
